iter	Passed	Remaining
455	988	1179
456	990	1176
457	991	1173
458	993	1170
459	994	1167
460	996	1164
461	997	1161
462	998	1158
463	1000	1155
464	1002	1153
465	1004	1150
466	1005	1147
467	1007	1144
468	1008	1141
469	1009	1138
470	1011	1135
471	1012	1132
472	1013	1129
473	1015	1126
474	1017	1124
475	1019	1122
476	1021	1119
477	1022	1116
478	1024	1114
479	1025	1111
480	1027	1108
481	1028	1105
482	1030	1103
483	1032	1101
484	1034	1098
485	1035	1095
486	1037	1092
487	1039	1090
488	1041	1088
489	1047	1090
490	1050	1089
491	1053	1087
492	1055	1085
493	1060	1086
494	1063	1084
495	1065	1082
496	1068	1080
497	1070	1078
498	1072	1076
499	1074	1074
500	1075	1071
501	1076	1068
502	1078	1065
503	1079	1062
504	1080	1059
505	1082	1057
506	1084	1054
507	1086	1052
508	1089	1050
509	1090	1047
510	1092	1045
511	1093	1042
512	1095	1039
513	1096	1036
514	1098	1034
515	1100	1032
516	1102	1029
517	1103	1027
518	1105	1024
519	1106	1021
520	1107	1018
521	1109	1015
522	1110	1012
523	1112	1010
524	1113	1007
525	1116	1005
526	1117	1003
527	1119	1000
528	1120	997
529	1122	995
530	1123	992
531	1126	991
532	1131	991
533	1134	990
534	1136	988
535	1139	986
536	1142	984
537	1144	982
538	1146	980
539	1148	977
540	1149	975
541	1151	973
542	1153	970
543	1155	968
544	1159	968
545	1161	966
546	1164	964
547	1168	963
548	1172	963
549	1174	960
550	1176	958
551	1177	956
552	1179	953
553	1182	952
554	1185	950
555	1189	949
556	1192	948
557	1194	945
558	1197	944
559	1200	943
560	1202	940
561	1203	937
562	1205	935
563	1206	932
564	1207	930
565	1209	927
566	1211	925
567	1213	923
568	1215	920
569	1216	917
570	1217	915
571	1219	912
572	1220	909
573	1222	906
574	1223	904
575	1225	902
576	1227	899
577	1228	897
578	1230	894
579	1231	892
580	1233	889
581	1234	886
582	1236	884
583	1237	881
584	1239	879
585	1240	876
586	1242	874
587	1243	871
588	1245	869
589	1247	866
590	1248	864
591	1249	861
592	1251	858
593	1253	856
594	1259	857
595	1262	855
596	1264	853
597	1266	851
598	1268	849
599	1270	846
600	1272	844
601	1273	841
602	1274	839
603	1276	836
604	1277	834
605	1280	832
606	1283	830
607	1285	828
608	1291	828
609	1297	829
610	1301	828
611	1304	826
612	1307	825
613	1310	823
